igjen	rolle	n	ulike_diff	andel_diff	ulike_egen	andel_egen
1	forsvar	160	0	0.0000	0	0.0000
1	fører	80	0	0.0000	0	0.0000
1	makker	80	0	0.0000	0	0.0000
2	forsvar	160	38	0.2375	33	0.2062
2	fører	80	10	0.1250	15	0.1875
2	makker	80	15	0.1875	16	0.2000
3	forsvar	160	57	0.3563	56	0.3500
3	fører	80	23	0.2875	26	0.3250
3	makker	80	26	0.3250	27	0.3375
4	forsvar	160	74	0.4625	77	0.4813
4	fører	80	28	0.3500	31	0.3875
4	makker	80	28	0.3500	31	0.3875
5	forsvar	160	81	0.5062	93	0.5813
5	fører	80	34	0.4250	37	0.4625
5	makker	80	35	0.4375	33	0.4125
ALLE	-	1600	449	0.2806	475	0.2969
