# K1-KAMPSETT — LÅST 14. sep 2026. Denne FILA er fasit, ikke regelen under.
#
# HVORFOR: helporten i treningsløkka valgte nettsett på K1 målt på ALLE de 2641
# rundene i disse 273 kampene, iterasjon etter iterasjon. Det er seleksjon på
# testsettet: elleve iterasjoner pluss løsrevne målinger på samme sett, med
# SE ±0,20, gir et forventet maksimum av ren støy på ~+0,3 pp — hele størrelsen
# på «forbedringen» fra 1,01 til 1,24.
#
#   utvalg   porten får se. Alle valg av nettsett tas her.
#   holdout  porten ser den ALDRI. Ren rapport, aldri en beslutning.
#
# REGELEN SOM LAGET LISTA (kjørt én gang, aldri igjen):
#   bland(fnv("k1sett:" + spill)) % 100 < 50  →  utvalg, ellers holdout
#   fnv = FNV-1a 32 bit; bland = murmur3 fmix32. Blandingen er ikke pynt:
#   examples/menneske-logg.ts dokumenterer at rå FNV ikke blander de LAVE
#   bitene, og at fnv("hold:"+id) % 4 la ALLE 76 holdout-kampene i halvdel 1.
#
# 50/50 og ikke 60/40: holdouten skal kunne SE en forskjell. Målt på de lagrede
# rundene er parret SE for iter10−iter7 0,22 på 50/50-holdouten mot 0,26 på
# 60/40-holdouten. Porten tåler et litt mindre utvalg bedre enn rapporten tåler
# en blind holdout.
#
# KAMPENE er de 273 fra 10. aug 2026 som finnes i alle iterasjonene iter1..iter10
# (kontrollert: identiske mengder). ENDRES LISTA, er ingen tall sammenliknbare
# med noe eldre — da må den få nytt navn.
spill	sett
04vmonhl	holdout
0fn4a2er	utvalg
0ikb7rr2	utvalg
0kgs23dz	holdout
0nb9hj7d	holdout
0nibbrms	utvalg
0p7n0vzm	holdout
0pspehik	holdout
0sm4ajb6	holdout
0tp87mss	holdout
0wjlvxpt	holdout
1bunhgnk	holdout
1ig14kca	utvalg
1sqkssid	utvalg
201f8d5p	holdout
2051u8td	utvalg
2745spsb	utvalg
29u16toh	holdout
2dqieqi4	holdout
2faefdd5	holdout
2it00up2	holdout
2lkwsxf7	holdout
2xfkuvgw	holdout
316r80db	utvalg
31lw3qmi	utvalg
35h96yd9	holdout
3byeytxi	holdout
3d3jq8g2	holdout
3impn7f9	utvalg
3imv56wh	utvalg
3v2w2fx5	holdout
3v4oc04x	utvalg
41ko9xel	holdout
4a4h7bo8	utvalg
4cki66rj	utvalg
4ie7zdiw	utvalg
4irjdmzu	utvalg
4k4wcwnb	holdout
4kjlyebi	holdout
4sncfrwo	utvalg
4tf4dbym	holdout
4tw37gl7	utvalg
5ces7v6y	holdout
5el2oxna	utvalg
5mz1bjiu	utvalg
5njjdhk8	holdout
5rmtwdj6	holdout
64rsur28	holdout
6jhojg1s	utvalg
6r0xf4fd	holdout
6r368cdg	holdout
6vmdj1vh	utvalg
70op0h2a	holdout
7292adix	utvalg
76hw8c2r	utvalg
7bt1l77y	utvalg
7cr5m4cw	utvalg
7hfpofop	holdout
7hx5cbvz	utvalg
7i26vvpd	utvalg
