EKSAKT RETTFERDIG TAK (gulv ln 3 = 1.0986; andelene er over de dekkede stillingene, SE klynget på kamp)
  alle seter:
  stikk     n  dekket  nett(alle)   nett    tak   nett→klarsyn %  nett→rettferdig %  tak→klarsyn %  | blind n  blind   tak  | ms/st
      2    48       0      1.0363      –      –              –                  –              –  |       0      –      – | –
      3    48       0      1.0054      –      –              –                  –              –  |       0      –      – | –
      4    48       0      0.9949      –      –              –                  –              –  |       0      –      – | –
      5    48       0      0.9493      –      –              –                  –              –  |       0      –      – | –
      6    48       0      0.9317      –      –              –                  –              –  |       0      –      – | –
      7    48      32      0.9227 1.0000 0.5569        9.0±1.8           18.2±3.8       49.3±4.1  |      32 1.0379 0.5569 | 3314
      8    48      48      0.9114 0.9114 0.2891       17.0±2.2           23.1±2.8       73.7±3.2  |      31 1.0328 0.3297 | 1729
      9    48      48      0.8245 0.8245 0.1530       24.9±2.9           29.0±3.2       86.1±3.1  |      30 1.0307 0.1785 | 469
   alle   384     128      0.9470 0.9010 0.3050       18.0±1.7           24.9±2.3       72.2±2.7  |      93 1.0339 0.3591 | 1653
  budvinneren:
  stikk     n  dekket  nett(alle)   nett    tak   nett→klarsyn %  nett→rettferdig %  tak→klarsyn %  | blind n  blind   tak  | ms/st
      2    35       0      1.0666      –      –              –                  –              –  |       0      –      – | –
      3    28       0      1.0767      –      –              –                  –              –  |       0      –      – | –
      4    30       0      1.0619      –      –              –                  –              –  |       0      –      – | –
      5    30       0      1.0167      –      –              –                  –              –  |       0      –      – | –
      6    28       0      1.0283      –      –              –                  –              –  |       0      –      – | –
      7    32      32      1.0000 1.0000 0.5569        9.0±1.8           18.2±3.8       49.3±4.1  |      32 1.0379 0.5569 | 3314
      8    31      31      0.9818 0.9818 0.3297       10.6±1.9           15.2±2.6       70.0±4.1  |      31 1.0328 0.3297 | 187
      9    30      30      0.9642 0.9642 0.1785       12.2±2.7           14.6±3.1       83.8±4.6  |      30 1.0307 0.1785 | 4
   alle   244      93      1.0245 0.9824 0.3591       10.6±1.5           15.7±2.2       67.3±3.3  |      93 1.0339 0.3591 | 1204
  de andre:
  stikk     n  dekket  nett(alle)   nett    tak   nett→klarsyn %  nett→rettferdig %  tak→klarsyn %  | blind n  blind   tak  | ms/st
      2    13       0      0.9550      –      –              –                  –              –  |       0      –      – | –
      3    20       0      0.9056      –      –              –                  –              –  |       0      –      – | –
      4    18       0      0.8832      –      –              –                  –              –  |       0      –      – | –
      5    18       0      0.8371      –      –              –                  –              –  |       0      –      – | –
      6    20       0      0.7965      –      –              –                  –              –  |       0      –      – | –
      7    16       0      0.7681      –      –              –                  –              –  |       0      –      – | –
      8    17      17      0.7831 0.7831 0.2150       28.7±4.1           35.7±5.2       80.4±3.6  |       0      –      – | 4540
      9    18      18      0.5917 0.5917 0.1106       46.1±3.4           51.3±4.0       89.9±3.0  |       0      –      – | 1244
   alle   140      35      0.8120 0.6847 0.1613       37.7±3.3           44.2±4.0       85.3±2.4  |       0      –      – | 2845
