3ajryv9m|0|0|amerikaner|0|1|12|11,1,0,0|AMERIKANER|K/K12
khtt2ro0|0|0|tall|8|1|11|7,0,4,1|8|S/S13
waw5cd89|0|0|tall|9|0|8|5,2,3,2|9|H/H14
waw5cd89|1|0|tall|10|1|12|10,2,0,0|10|H/H14
waw5cd89|2|1|tall|9|1|9|3,7,2,0|8,PASS|
r7b8qzx1|0|0|tall|11|1|12|11,0,0,1|11|S/S13
8immpk94|0|1|tall|9|1|11|1,10,1,0|PASS|
8immpk94|1|0|tall|9|1|11|9,1,2,0|9|R/R14
8immpk94|2|2|tall|10|1|10|1,2,8,1|PASS|
8immpk94|3|0|tall|9|0|5|3,1,2,6|9|R/R14
8immpk94|4|0|tall|11|0|8|7,1,1,3|11|S/S14
e0m81cmg|0|0|tall|10|1|11|9,0,2,1|10|S/S14
e0m81cmg|1|0|tall|10|1|10|9,1,0,2|10|K/K13
t2hjn0s3|0|1|tall|8|0|7|3,5,2,2|PASS|
t2hjn0s3|1|0|tall|9|1|11|7,4,0,1|9|H/H11
t2hjn0s3|2|0|tall|8|1|8|7,3,1,1|8|S/S13
v0ih5utc|0|0|tall|9|1|9|6,1,3,2|9|K/K14
v0ih5utc|1|3|tall|9|1|10|1,0,2,9|PASS|
v0ih5utc|2|1|tall|8|1|9|3,4,0,5|7,PASS|
z9ovpe4d|0|0|tall|9|1|10|8,0,2,2|9|S/S13
w2ddwqmo|0|2|tall|10|0|8|3,1,7,1|9,PASS|
w2ddwqmo|1|3|tall|9|1|9|1,2,1,8|8,PASS|
w2ddwqmo|2|0|tall|9|0|8|7,2,1,2|9|R/R12
w2ddwqmo|3|3|tall|9|0|7|3,1,2,6|7,PASS|
w2ddwqmo|4|0|tall|9|0|8|7,2,1,2|9|S/S14
w2ddwqmo|5|1|tall|8|1|9|3,7,2,0|7,PASS|
w2ddwqmo|6|1|tall|9|1|10|1,7,3,1|PASS|
w2ddwqmo|7|0|tall|9|1|9|7,2,2,1|7,9|K/K12
w2ddwqmo|8|2|tall|8|1|8|3,1,7,1|PASS|
w2ddwqmo|9|1|tall|9|0|6|4,5,1,2|8,PASS|
0cg7oh1q|0|0|tall|9|1|9|6,1,2,3|9|S/S14
0cg7oh1q|1|0|tall|8|1|8|6,2,1,3|8|K/K11
0cg7oh1q|2|0|tall|9|1|10|7,0,2,3|9|H/H14
0cg7oh1q|3|1|tall|9|1|9|1,8,2,1|8,PASS|
0cg7oh1q|4|1|tall|9|0|8|2,5,3,2|PASS|
0cg7oh1q|5|2|tall|9|1|10|5,0,5,2|8,PASS|
0cg7oh1q|6|0|tall|8|1|11|8,3,0,1|8|H/H14
0cg7oh1q|7|0|tall|10|1|10|7,0,3,2|8,10|H/H14
ump7tpmg|0|1|tall|9|1|9|1,6,2,3|PASS|
ump7tpmg|1|3|tall|8|1|10|3,1,1,7|PASS|
ump7tpmg|2|0|tall|8|1|10|6,2,0,4|8|H/H14
y781w9ns|0|0|tall|9|1|11|8,1,0,3|9|K/K13
y781w9ns|1|2|tall|9|1|9|2,1,7,2|8,PASS|
y781w9ns|2|1|tall|9|0|8|3,7,1,1|8,PASS|
y781w9ns|3|3|tall|9|1|9|5,2,1,4|8,PASS|
y781w9ns|4|0|tall|9|1|10|6,1,4,1|9|K/K12
d1zcik8d|0|3|tall|10|1|12|0,2,0,10|PASS|
y781w9ns|5|0|tall|9|1|11|10,0,1,1|9|R/R14
y781w9ns|6|0|tall|9|1|9|6,1,3,2|9|S/S14
y781w9ns|7|3|tall|9|1|9|2,1,2,7|8,PASS|
y781w9ns|8|0|tall|9|1|11|9,0,1,2|9|H/H14
sa4wey3z|0|1|tall|10|1|12|0,8,0,4|PASS|
2bkq2ffv|0|0|tall|8|1|11|8,1,3,0|8|S/S14
kb03yqqg|0|2|tall|9|0|7|4,1,4,3|8,PASS|
kb03yqqg|1|0|tall|10|1|11|9,2,0,1|10|S/S14
kb03yqqg|2|1|tall|9|1|11|1,8,0,3|8,PASS|
kb03yqqg|3|1|tall|9|1|12|3,9,0,0|8,PASS|
kb03yqqg|4|0|tall|9|0|6|4,2,4,2|9|H/H13
kb03yqqg|5|1|tall|9|1|10|0,8,2,2|8,PASS|
kb03yqqg|6|2|tall|11|0|9|2,1,9,0|6,10,PASS|
kb03yqqg|7|3|tall|9|0|8|3,1,2,6|8,PASS|
kb03yqqg|8|0|tall|9|1|9|5,0,3,4|9|H/H14
kb03yqqg|9|0|tall|9|1|11|9,0,1,2|9|S/S13
kb03yqqg|10|2|tall|9|1|9|2,1,8,1|8,PASS|
kb03yqqg|11|3|tall|10|0|7|2,4,1,5|8,PASS|
kb03yqqg|12|0|tall|11|0|9|5,2,4,1|9,11|H/H14
kb03yqqg|13|3|tall|10|0|7|1,4,3,4|8,PASS|
kb03yqqg|14|1|tall|10|1|11|1,10,1,0|9,PASS|
3qkxdraz|0|3|tall|9|1|12|0,0,1,11|8,PASS|
3qkxdraz|1|1|tall|9|1|9|0,8,1,3|8,PASS|
3qkxdraz|2|1|tall|10|1|10|1,9,1,1|9,PASS|
3qkxdraz|3|1|tall|9|1|10|1,9,1,1|8,PASS|
3qkxdraz|4|0|tall|9|1|11|6,5,0,1|9|K/K13
3qkxdraz|5|3|tall|10|0|9|0,3,3,6|9,PASS|
