epoke 1: n=51605 (tren 46598) A=+3.402+-8.418 G=+5.6+-8.5 | policy -0.0128 -> -0.0897 | entropi 0.5983 -> 0.6659 | tro 1.2244 -> 1.1429 (treff 39.1 %) | verdi-RMSE 8.528 -> 7.481 | FORKLART PAA HOLDOUT-KAMPER: sum +0.1175, runde +0.1539, hale +0.0364 (i utvalget +0.2301) | KL=0.02247 | ingen frys | 18s
epoke 2: n=62713 (tren 56510) A=-2.807+-10.585 G=+1.7+-11.6 | policy -0.0565 -> -0.1640 | entropi 0.6632 -> 0.6852 | tro 1.1467 -> 1.1165 (treff 40.2 %) | verdi-RMSE 10.992 -> 7.475 | FORKLART PAA HOLDOUT-KAMPER: sum +0.5287, runde +0.6324, hale +0.0156 (i utvalget +0.5923) | KL=0.03217 | FRYS: policy paa batch 744, stamme paa -1 av 896 | 27s
epoke 3: n=56311 (tren 50757) A=+0.371+-6.844 G=+4.8+-7.9 | policy 0.0074 -> -0.0632 | entropi 0.6530 -> 0.6644 | tro 1.1367 -> 1.1133 (treff 41.2 %) | verdi-RMSE 6.821 -> 5.605 | FORKLART PAA HOLDOUT-KAMPER: sum +0.2614, runde +0.3062, hale +0.0431 (i utvalget +0.4905) | KL=0.01119 | ingen frys | 19s
epoke 4: n=51375 (tren 46343) A=+0.926+-6.975 G=+5.8+-7.6 | policy -0.0195 -> -0.0907 | entropi 0.6724 -> 0.6909 | tro 1.1329 -> 1.1138 (treff 40.8 %) | verdi-RMSE 7.032 -> 5.595 | FORKLART PAA HOLDOUT-KAMPER: sum +0.1592, runde +0.1618, hale +0.0536 (i utvalget +0.4682) | KL=0.00991 | ingen frys | 18s
epoke 5: n=51892 (tren 46597) A=+0.423+-7.280 G=+5.6+-7.9 | policy -0.0063 -> -0.0767 | entropi 0.6893 -> 0.7063 | tro 1.1250 -> 1.1056 (treff 41.5 %) | verdi-RMSE 7.308 -> 5.635 | FORKLART PAA HOLDOUT-KAMPER: sum +0.1898, runde +0.2382, hale +0.0824 (i utvalget +0.4925) | KL=0.01074 | ingen frys | 18s
epoke 6: n=55216 (tren 49953) A=-0.232+-7.701 G=+4.5+-9.2 | policy -0.0094 -> -0.0788 | entropi 0.7248 -> 0.7343 | tro 1.1184 -> 1.1006 (treff 41.1 %) | verdi-RMSE 7.619 -> 5.979 | FORKLART PAA HOLDOUT-KAMPER: sum +0.3184, runde +0.3780, hale +0.0533 (i utvalget +0.5814) | KL=0.00900 | ingen frys | 23s
epoke 7: n=53461 (tren 48183) A=+0.100+-7.393 G=+5.1+-8.8 | policy -0.0181 -> -0.0909 | entropi 0.7264 -> 0.7337 | tro 1.1145 -> 1.0971 (treff 41.4 %) | verdi-RMSE 7.326 -> 5.860 | FORKLART PAA HOLDOUT-KAMPER: sum +0.2906, runde +0.3413, hale +0.0327 (i utvalget +0.5459) | KL=0.00834 | ingen frys | 19s
epoke 8: n=52774 (tren 47621) A=-0.767+-7.290 G=+5.2+-8.5 | policy -0.0379 -> -0.1209 | entropi 0.7366 -> 0.7420 | tro 1.1102 -> 1.0928 (treff 41.6 %) | verdi-RMSE 7.435 -> 5.738 | FORKLART PAA HOLDOUT-KAMPER: sum +0.2784, runde +0.3266, hale +0.0573 (i utvalget +0.5567) | KL=0.00969 | ingen frys | 22s
epoke 9: n=52547 (tren 47168) A=-0.044+-7.196 G=+5.5+-8.1 | policy 0.0200 -> -0.0568 | entropi 0.7463 -> 0.7546 | tro 1.1084 -> 1.0910 (treff 41.9 %) | verdi-RMSE 7.172 -> 5.408 | FORKLART PAA HOLDOUT-KAMPER: sum +0.2058, runde +0.2322, hale +0.0710 (i utvalget +0.5620) | KL=0.00883 | ingen frys | 22s
epoke 10: n=51611 (tren 46556) A=-0.585+-7.248 G=+5.7+-8.1 | policy 0.0039 -> -0.0767 | entropi 0.7562 -> 0.7747 | tro 1.1117 -> 1.0943 (treff 41.7 %) | verdi-RMSE 7.504 -> 5.553 | FORKLART PAA HOLDOUT-KAMPER: sum +0.1196, runde +0.1134, hale +0.0697 (i utvalget +0.5483) | KL=0.00915 | ingen frys | 20s
epoke 11: n=50755 (tren 45670) A=+0.143+-7.171 G=+5.9+-8.0 | policy -0.0050 -> -0.0850 | entropi 0.7674 -> 0.7733 | tro 1.1127 -> 1.0964 (treff 41.6 %) | verdi-RMSE 7.172 -> 5.145 | FORKLART PAA HOLDOUT-KAMPER: sum +0.1635, runde +0.1852, hale +0.0630 (i utvalget +0.5803) | KL=0.00938 | ingen frys | 19s
