epoke 1: n=368128 (tren 329612) A=-20.327+-28.105 G=-44.4+-47.4 | policy -0.0021 -> -0.1387 | entropi 1.3738 -> 1.3505 | tro 1.5998 -> 1.1535 (treff 39.1 %) | verdi-RMSE 47.926 -> 21.532 | FORKLART PAA HOLDOUT-KAMPER: sum +0.7548, runde +0.9263, hale +0.1597 (i utvalget +0.7981) | STIKK forklart -0.5065 (RMSE 3.544, treff 10.2 %) | KL=0.03740 | FASER BUD 0.815/8k  VRAK 0.912/38k  TRUM 0.932/3k  ETTE 0.882/16k  SPIL 0.865/52k | ingen frys | 308s
epoke 2: n=545742 (tren 489366) A=+6.213+-15.095 G=-24.0+-34.0 | policy -0.0304 -> -0.1671 | entropi 1.2910 -> 1.2861 | tro 1.1894 -> 1.1478 (treff 39.7 %) | verdi-RMSE 24.565 -> 16.135 | FORKLART PAA HOLDOUT-KAMPER: sum +0.7019, runde +0.8993, hale -0.0150 (i utvalget +0.7706) | STIKK forklart -0.3535 (RMSE 3.400, treff 8.4 %) | KL=0.02118 | FASER BUD 0.769/7k  VRAK 0.918/36k  TRUM 0.917/3k  ETTE 0.906/18k  SPIL 0.875/52k | ingen frys | 467s
epoke 3: n=627113 (tren 562758) A=+0.587+-11.015 G=-20.3+-27.0 | policy -0.0449 -> -0.1345 | entropi 1.2932 -> 1.2891 | tro 1.1684 -> 1.1448 (treff 39.7 %) | verdi-RMSE 14.900 -> 12.193 | FORKLART PAA HOLDOUT-KAMPER: sum +0.6906, runde +0.8891, hale -0.0269 (i utvalget +0.7957) | STIKK forklart -0.3827 (RMSE 3.312, treff 7.8 %) | KL=0.01576 | FASER BUD 0.777/7k  VRAK 0.909/33k  TRUM 0.912/3k  ETTE 0.916/24k  SPIL 0.864/52k | ingen frys | 534s
epoke 4: n=685957 (tren 614633) A=-0.867+-10.122 G=-19.8+-25.1 | policy 0.0238 -> -0.0713 | entropi 1.2972 -> 1.2870 | tro 1.1603 -> 1.1423 (treff 39.4 %) | verdi-RMSE 14.091 -> 10.842 | FORKLART PAA HOLDOUT-KAMPER: sum +0.6922, runde +0.8874, hale -0.0267 (i utvalget +0.8101) | STIKK forklart -0.4438 (RMSE 3.329, treff 8.7 %) | KL=0.01614 | FASER BUD 0.778/6k  VRAK 0.909/34k  TRUM 0.901/3k  ETTE 0.914/29k  SPIL 0.857/52k | ingen frys | 572s
epoke 5: n=667214 (tren 599892) A=+0.484+-9.903 G=-17.4+-23.7 | policy -0.0226 -> -0.1266 | entropi 1.2873 -> 1.2678 | tro 1.1573 -> 1.1417 (treff 39.6 %) | verdi-RMSE 13.900 -> 10.662 | FORKLART PAA HOLDOUT-KAMPER: sum +0.6789, runde +0.8787, hale -0.0484 (i utvalget +0.7943) | STIKK forklart -0.4673 (RMSE 3.333, treff 8.6 %) | KL=0.01765 | FASER BUD 0.745/7k  VRAK 0.902/38k  TRUM 0.901/4k  ETTE 0.902/25k  SPIL 0.850/52k | ingen frys | 553s
epoke 6: n=685360 (tren 617810) A=+0.556+-9.456 G=-15.8+-21.9 | policy -0.0755 -> -0.1729 | entropi 1.2870 -> 1.2782 | tro 1.1573 -> 1.1424 (treff 39.4 %) | verdi-RMSE 12.959 -> 9.840 | FORKLART PAA HOLDOUT-KAMPER: sum +0.6519, runde +0.8584, hale -0.1162 (i utvalget +0.8063) | STIKK forklart -0.4826 (RMSE 3.313, treff 8.4 %) | KL=0.01921 | FASER BUD 0.775/7k  VRAK 0.895/34k  TRUM 0.907/4k  ETTE 0.890/28k  SPIL 0.845/52k | ingen frys | 582s
epoke 7: n=696214 (tren 629248) A=+0.362+-9.808 G=-16.6+-23.2 | policy -0.1001 -> -0.2034 | entropi 1.2796 -> 1.2659 | tro 1.1557 -> 1.1421 (treff 39.5 %) | verdi-RMSE 13.643 -> 10.398 | FORKLART PAA HOLDOUT-KAMPER: sum +0.6510, runde +0.8661, hale -0.1398 (i utvalget +0.7965) | STIKK forklart -0.5274 (RMSE 3.327, treff 8.6 %) | KL=0.01992 | FASER BUD 0.755/5k  VRAK 0.894/40k  TRUM 0.905/4k  ETTE 0.888/34k  SPIL 0.833/52k | ingen frys | 593s
epoke 8: n=660075 (tren 590702) A=+0.239+-10.072 G=-15.7+-23.4 | policy -0.0771 -> -0.1902 | entropi 1.2588 -> 1.2385 | tro 1.1611 -> 1.1470 (treff 39.6 %) | verdi-RMSE 13.585 -> 10.238 | FORKLART PAA HOLDOUT-KAMPER: sum +0.6478, runde +0.8635, hale -0.1327 (i utvalget +0.8040) | STIKK forklart -0.5205 (RMSE 3.345, treff 8.9 %) | KL=0.02140 | FASER BUD 0.753/7k  VRAK 0.891/39k  TRUM 0.896/4k  ETTE 0.862/28k  SPIL 0.824/52k | ingen frys | 553s
epoke 9: n=656497 (tren 591702) A=-0.122+-10.295 G=-14.9+-23.6 | policy -0.0182 -> -0.1320 | entropi 1.2438 -> 1.2304 | tro 1.1577 -> 1.1443 (treff 39.6 %) | verdi-RMSE 13.872 -> 10.618 | FORKLART PAA HOLDOUT-KAMPER: sum +0.6552, runde +0.8646, hale -0.1176 (i utvalget +0.7928) | STIKK forklart -0.4987 (RMSE 3.339, treff 8.5 %) | KL=0.02300 | FASER BUD 0.754/7k  VRAK 0.883/42k  TRUM 0.901/4k  ETTE 0.868/32k  SPIL 0.817/52k | ingen frys | 561s
epoke 10: n=632983 (tren 566242) A=-0.167+-9.892 G=-14.4+-23.4 | policy -0.0790 -> -0.2039 | entropi 1.2503 -> 1.2305 | tro 1.1580 -> 1.1443 (treff 39.5 %) | verdi-RMSE 13.615 -> 10.426 | FORKLART PAA HOLDOUT-KAMPER: sum +0.6608, runde +0.8642, hale -0.1088 (i utvalget +0.8097) | STIKK forklart -0.5218 (RMSE 3.359, treff 8.6 %) | KL=0.02350 | FASER BUD 0.766/9k  VRAK 0.870/39k  TRUM 0.899/4k  ETTE 0.864/27k  SPIL 0.807/52k | ingen frys | 533s
epoke 11: n=627129 (tren 564809) A=-0.107+-10.502 G=-14.9+-24.7 | policy -0.0268 -> -0.1447 | entropi 1.2260 -> 1.2148 | tro 1.1575 -> 1.1441 (treff 39.5 %) | verdi-RMSE 14.257 -> 10.817 | FORKLART PAA HOLDOUT-KAMPER: sum +0.6561, runde +0.8699, hale -0.1447 (i utvalget +0.8122) | STIKK forklart -0.5147 (RMSE 3.351, treff 8.7 %) | KL=0.02528 | FASER BUD 0.760/9k  VRAK 0.861/43k  TRUM 0.907/4k  ETTE 0.856/31k  SPIL 0.803/52k | ingen frys | 533s
