kandidat	motstander	n	snitt	se	z	pos	neg	seier%	avbrutt%	baand0	baand1	kontroll
mlb-e10	tren.vane.grisk	600	-7.5367	0.4201	-17.94	157	388	0.5	0.0	-7.713	-7.360	0.0000 OK
mlb-e10	tren.vane.honnørsulten	600	-5.4133	0.4997	-10.83	177	376	12.7	0.0	-5.263	-5.563	0.0000 OK
mlb-e10	tren.vane.trumfgjerrig	600	3.3467	0.5221	6.41	369	197	51.8	0.0	3.867	2.827	0.0000 OK
mlb-e10	tren.vane.ordentlig	600	-7.2000	0.4412	-16.32	129	417	0.5	0.0	-6.733	-7.667	0.0000 OK
mlb-e10	test.test.feig	600	27.7933	0.2367	117.43	594	2	96.2	5.7	27.927	27.660	0.0000 OK
mlb-e10	test.test.trumfsløser	600	21.3833	1.3475	15.87	416	169	35.3	0.0	21.563	21.203	0.0000 OK
mlb-e10	test.test.middelmådig	600	15.2067	0.4325	35.16	541	47	91.3	0.5	15.593	14.820	0.0000 OK
mlb-e10	test.test.baklengs	600	28.8333	0.1848	156.07	595	1	94.8	5.0	29.237	28.430	0.0000 OK
mlb-e10	epoke0.tilfeldig	600	233.4608	6.6914	34.89	564	31	87.2	0.8	221.910	245.012	0.0000 OK
mlb-e10	mlb-beste	600	337.2467	3.9553	85.26	598	0	96.3	0.0	338.070	336.423	0.0000 OK
mlb-e10	mlb-beste-e1	600	136.5517	5.9283	23.03	506	76	79.0	0.5	144.560	128.543	0.0000 OK
mlb-e10	mlb-beste-e3	600	141.2867	4.8770	28.97	515	80	77.2	43.3	145.330	137.243	0.0000 OK
mlb-e10	mlb-beste-e4	468	149.1635	5.5275	26.99	411	54	72.2	32.9	156.552	135.970	0.0000 OK
