# MLB 0.3 — TypeScript mot PyTorch, samme vekter, samme innganger
# 2026-08-09T16:40:45.527Z
# vekter=e1-modell/mlb-trent-kopi.bin ref=e1-modell/mlb-trent-ref.bin rader=64 dim=1032
# form: {"stamme":[[1032,1024],[1024,768],[768,512]],"policy":[[512,68]],"verdi":[[512,1]],"tro":[[512,208]]}
# parametre: stamme=2238720 policy=34884 verdi=513 tro=106704 SUM=2380821
# rad	hode	maksAbs	maksRel	skala
0	policy	4.470e-7	1.784e-7	2.5060
0	verdi	1.907e-6	6.189e-8	30.8194
0	tro	1.907e-6	1.694e-7	11.2609
1	policy	5.960e-8	1.629e-7	0.3659
1	verdi	4.768e-7	2.523e-7	1.8898
1	tro	2.086e-7	2.428e-7	0.8591
2	policy	1.192e-7	1.341e-7	0.8889
2	verdi	0.000e+0	0.000e+0	3.2901
2	tro	7.153e-7	2.234e-7	3.2014
3	policy	5.588e-8	2.105e-7	0.2655
3	verdi	0.000e+0	0.000e+0	3.7653
3	tro	1.788e-7	1.638e-7	1.0914
4	policy	3.725e-8	1.891e-7	0.1970
4	verdi	4.768e-7	1.749e-7	2.7258
4	tro	2.384e-7	2.863e-7	0.8327
5	policy	4.768e-7	2.046e-7	2.3307
5	verdi	0.000e+0	0.000e+0	30.4032
5	tro	1.907e-6	1.834e-7	10.4025
6	policy	7.153e-7	3.123e-7	2.2902
6	verdi	1.907e-6	6.231e-8	30.6089
6	tro	2.146e-6	2.139e-7	10.0339
7	policy	4.768e-7	1.933e-7	2.4671
7	verdi	3.815e-6	1.266e-7	30.1380
7	tro	1.669e-6	1.761e-7	9.4795
8	policy	3.576e-7	1.489e-7	2.4017
8	verdi	0.000e+0	0.000e+0	30.7524
8	tro	1.907e-6	1.687e-7	11.3076
9	policy	1.192e-7	2.185e-7	0.5456
9	verdi	4.768e-7	2.376e-7	2.0066
9	tro	3.278e-7	1.176e-7	2.7871
10	policy	1.192e-7	1.946e-7	0.6127
10	verdi	0.000e+0	0.000e+0	2.0506
10	tro	4.768e-7	1.493e-7	3.1941
11	policy	1.937e-7	2.451e-7	0.7903
11	verdi	7.153e-7	2.470e-7	2.8953
11	tro	7.153e-7	1.916e-7	3.7336
12	policy	2.086e-7	2.264e-7	0.9215
12	verdi	7.153e-7	2.553e-7	2.8014
12	tro	1.192e-6	3.065e-7	3.8898
13	policy	3.874e-7	2.340e-7	1.6554
13	verdi	0.000e+0	0.000e+0	2.6985
13	tro	2.861e-6	3.056e-7	9.3617
14	policy	4.768e-7	1.936e-7	2.4629
14	verdi	1.907e-6	6.122e-8	31.1578
14	tro	1.907e-6	1.648e-7	11.5708
15	policy	9.686e-8	2.805e-7	0.3453
15	verdi	4.768e-7	9.189e-8	5.1891
15	tro	2.384e-7	2.456e-7	0.9708
16	policy	6.333e-8	2.138e-7	0.2962
16	verdi	2.384e-7	6.443e-8	3.7004
