# MLB 0.3 — TypeScript mot PyTorch, samme vekter, samme innganger
# 2026-08-09T16:39:00.508Z
# vekter=e1-modell/mlb-init.bin ref=e1-modell/mlb-init-ref.bin rader=64 dim=1032
# form: {"stamme":[[1032,1024],[1024,768],[768,512]],"policy":[[512,68]],"verdi":[[512,1]],"tro":[[512,208]]}
# parametre: stamme=2238720 policy=34884 verdi=513 tro=106704 SUM=2380821
# rad	hode	maksAbs	maksRel	skala
0	policy	1.304e-8	2.056e-7	0.0634
0	verdi	7.451e-9	2.406e-7	0.0310
0	tro	1.304e-8	1.900e-7	0.0686
1	policy	1.304e-8	2.585e-7	0.0504
1	verdi	3.725e-9	1.504e-7	0.0248
1	tro	1.490e-8	2.124e-7	0.0701
2	policy	1.304e-8	2.304e-7	0.0566
2	verdi	3.725e-9	1.866e-7	0.0200
2	tro	1.490e-8	1.996e-7	0.0747
3	policy	1.118e-8	1.948e-7	0.0574
3	verdi	3.725e-9	1.534e-7	0.0243
3	tro	1.304e-8	2.014e-7	0.0647
4	policy	1.758e-8	3.798e-7	0.0463
4	verdi	5.588e-9	3.147e-7	0.0178
4	tro	1.583e-8	2.314e-7	0.0684
5	policy	1.304e-8	2.649e-7	0.0492
5	verdi	1.863e-9	9.858e-8	0.0189
5	tro	1.490e-8	2.061e-7	0.0723
6	policy	1.676e-8	2.593e-7	0.0647
6	verdi	7.451e-9	1.681e-7	0.0443
6	tro	1.490e-8	1.807e-7	0.0825
7	policy	1.118e-8	1.716e-7	0.0651
7	verdi	3.725e-9	9.578e-8	0.0389
7	tro	1.164e-8	1.430e-7	0.0814
8	policy	9.313e-9	1.709e-7	0.0545
8	verdi	3.725e-9	1.148e-7	0.0325
8	tro	1.537e-8	1.928e-7	0.0797
9	policy	1.211e-8	2.178e-7	0.0556
9	verdi	1.118e-8	3.572e-7	0.0313
9	tro	1.118e-8	1.561e-7	0.0716
10	policy	1.374e-8	2.352e-7	0.0584
10	verdi	1.863e-9	8.380e-8	0.0222
10	tro	1.490e-8	2.106e-7	0.0708
11	policy	1.863e-8	3.117e-7	0.0598
11	verdi	7.451e-9	3.661e-7	0.0204
11	tro	1.490e-8	2.225e-7	0.0670
12	policy	1.118e-8	2.010e-7	0.0556
12	verdi	3.725e-9	1.699e-7	0.0219
12	tro	1.490e-8	2.192e-7	0.0680
13	policy	1.118e-8	2.287e-7	0.0489
13	verdi	3.725e-9	1.286e-7	0.0290
13	tro	1.490e-8	2.061e-7	0.0723
14	policy	1.211e-8	1.802e-7	0.0672
14	verdi	3.725e-9	1.532e-7	0.0243
14	tro	1.304e-8	1.697e-7	0.0768
15	policy	1.490e-8	2.283e-7	0.0653
15	verdi	0.000e+0	0.000e+0	0.0256
15	tro	1.490e-8	1.978e-7	0.0753
16	policy	1.583e-8	3.014e-7	0.0525
16	verdi	3.725e-9	1.379e-7	0.0270
16	tro	1.490e-8	1.988e-7	0.0750
17	policy	1.118e-8	1.925e-7	0.0581
17	verdi	1.863e-9	6.149e-8	0.0303
17	tro	1.490e-8	1.902e-7	0.0783
18	policy	1.048e-8	1.762e-7	0.0595
18	verdi	7.451e-9	2.382e-7	0.0313
18	tro	1.490e-8	1.995e-7	0.0747
19	policy	1.024e-8	1.673e-7	0.0612
19	verdi	1.863e-9	6.281e-8	0.0297
19	tro	1.118e-8	1.440e-7	0.0776
20	policy	1.211e-8	2.083e-7	0.0581
20	verdi	3.725e-9	1.388e-7	0.0268
20	tro	1.770e-8	2.183e-7	0.0811
21	policy	1.304e-8	1.946e-7	0.0670
21	verdi	3.725e-9	2.092e-7	0.0178
21	tro	1.490e-8	1.749e-7	0.0852
22	policy	1.257e-8	2.093e-7	0.0601
22	verdi	1.863e-9	6.196e-8	0.0301
22	tro	1.863e-8	2.529e-7	0.0737
23	policy	1.304e-8	2.109e-7	0.0618
23	verdi	1.863e-9	6.947e-8	0.0268
23	tro	1.793e-8	2.645e-7	0.0678
24	policy	1.257e-8	2.498e-7	0.0503
24	verdi	1.863e-9	6.264e-8	0.0297
24	tro	1.723e-8	2.359e-7	0.0730
25	policy	1.397e-8	2.782e-7	0.0502
25	verdi	1.863e-9	6.784e-8	0.0275
25	tro	1.863e-8	2.237e-7	0.0832
26	policy	1.490e-8	3.130e-7	0.0476
26	verdi	1.118e-8	4.647e-7	0.0240
26	tro	1.490e-8	2.098e-7	0.0710
27	policy	1.118e-8	1.971e-7	0.0567
27	verdi	1.863e-9	8.934e-8	0.0208
27	tro	1.490e-8	2.099e-7	0.0710
28	policy	1.164e-8	1.987e-7	0.0586
28	verdi	3.725e-9	2.079e-7	0.0179
28	tro	1.490e-8	2.000e-7	0.0745
29	policy	1.490e-8	2.431e-7	0.0613
29	verdi	1.863e-9	8.499e-8	0.0219
29	tro	1.676e-8	2.262e-7	0.0741
30	policy	1.304e-8	2.173e-7	0.0600
30	verdi	5.588e-9	1.912e-7	0.0292
30	tro	2.049e-8	2.582e-7	0.0793
31	policy	1.676e-8	3.110e-7	0.0539
31	verdi	0.000e+0	0.000e+0	0.0219
31	tro	1.490e-8	2.116e-7	0.0704
32	policy	1.490e-8	2.885e-7	0.0516
32	verdi	3.725e-9	1.107e-7	0.0336
32	tro	1.490e-8	2.120e-7	0.0703
33	policy	1.490e-8	2.730e-7	0.0546
33	verdi	0.000e+0	0.000e+0	0.0245
33	tro	1.490e-8	2.035e-7	0.0732
34	policy	1.211e-8	1.888e-7	0.0641
34	verdi	9.313e-9	4.400e-7	0.0212
34	tro	1.490e-8	2.203e-7	0.0676
35	policy	1.490e-8	2.724e-7	0.0547
35	verdi	0.000e+0	0.000e+0	0.0334
35	tro	1.676e-8	2.365e-7	0.0709
36	policy	1.147e-8	2.106e-7	0.0544
36	verdi	1.863e-9	8.680e-8	0.0215
36	tro	1.304e-8	1.955e-7	0.0667
37	policy	1.490e-8	2.724e-7	0.0547
37	verdi	3.725e-9	1.274e-7	0.0292
37	tro	1.490e-8	2.008e-7	0.0742
38	policy	1.467e-8	2.767e-7	0.0530
38	verdi	0.000e+0	0.000e+0	0.0330
38	tro	1.676e-8	2.126e-7	0.0789
39	policy	1.118e-8	1.808e-7	0.0618
39	verdi	5.588e-9	2.007e-7	0.0278
39	tro	1.490e-8	1.982e-7	0.0752
40	policy	9.313e-9	1.415e-7	0.0658
40	verdi	7.451e-9	2.015e-7	0.0370
40	tro	1.304e-8	1.734e-7	0.0752
41	policy	1.304e-8	1.896e-7	0.0688
41	verdi	3.725e-9	1.050e-7	0.0355
41	tro	1.863e-8	2.385e-7	0.0781
42	policy	1.490e-8	2.255e-7	0.0661
42	verdi	1.863e-9	7.363e-8	0.0253
42	tro	1.676e-8	2.283e-7	0.0734
43	policy	1.583e-8	2.469e-7	0.0641
43	verdi	1.863e-9	1.086e-7	0.0172
43	tro	1.676e-8	2.244e-7	0.0747
44	policy	1.490e-8	2.674e-7	0.0557
44	verdi	5.588e-9	1.848e-7	0.0302
44	tro	1.863e-8	2.654e-7	0.0702
45	policy	1.164e-8	2.049e-7	0.0568
45	verdi	5.588e-9	1.853e-7	0.0302
45	tro	1.863e-8	2.628e-7	0.0709
46	policy	1.118e-8	2.060e-7	0.0543
46	verdi	3.725e-9	2.259e-7	0.0165
46	tro	1.490e-8	2.342e-7	0.0636
47	policy	1.676e-8	2.989e-7	0.0561
47	verdi	0.000e+0	0.000e+0	0.0212
47	tro	1.863e-8	2.567e-7	0.0726
48	policy	1.118e-8	2.049e-7	0.0545
48	verdi	3.725e-9	1.430e-7	0.0261
48	tro	1.863e-8	2.507e-7	0.0743
49	policy	1.327e-8	2.594e-7	0.0512
49	verdi	1.118e-8	4.906e-7	0.0228
49	tro	1.304e-8	1.856e-7	0.0703
50	policy	1.304e-8	2.728e-7	0.0478
50	verdi	3.725e-9	9.479e-8	0.0393
50	tro	1.520e-8	2.037e-7	0.0746
51	policy	1.490e-8	2.749e-7	0.0542
51	verdi	5.588e-9	2.011e-7	0.0278
51	tro	1.676e-8	2.179e-7	0.0769
52	policy	1.118e-8	1.978e-7	0.0565
52	verdi	1.863e-9	7.518e-8	0.0248
52	tro	1.490e-8	1.936e-7	0.0770
53	policy	1.118e-8	2.002e-7	0.0558
53	verdi	0.000e+0	0.000e+0	0.0285
53	tro	1.118e-8	1.438e-7	0.0777
54	policy	9.313e-9	1.755e-7	0.0531
