# MLB trekkbygger — kostnad per beslutning
# 2026-08-09T16:09:06.180Z  giver=8 målPoeng=30 tro=e1-modell/mlb-tro.bin
# TREKK_LENGDE=1032 MIKRO=273 KONVENSJON=71 regler=17
# kamp	fase	lovlige	ms_total	ms_mikro	ms_konvensjon
0	BUD	0	4.1984	0.0503	0.0005
0	BUD	0	2.8621	0.0510	0.0005
0	BUD	0	1.4175	0.0284	0.0004
0	BUD	0	0.8831	0.0333	0.0004
0	VRAK	0	0.9226	0.0409	0.0003
0	VELG	0	0.9050	0.0267	0.0004
0	SPILL	5	1.1019	0.0226	0.1069
0	SPILL	1	0.6535	0.0230	0.0005
0	SPILL	2	0.8132	0.0201	0.0749
0	SPILL	3	0.6783	0.0191	0.0357
0	SPILL	11	0.7843	0.0199	0.0653
0	SPILL	1	0.5206	0.0170	0.0002
0	SPILL	2	0.5564	0.0189	0.0208
0	SPILL	4	0.5931	0.0185	0.0356
0	SPILL	10	0.6954	0.0195	0.1055
0	SPILL	1	0.5532	0.0195	0.0003
0	SPILL	10	0.8972	0.0257	0.2498
0	SPILL	1	0.6006	0.0236	0.0003
0	SPILL	9	0.5997	0.0212	0.0224
0	SPILL	2	0.7123	0.0229	0.0143
0	SPILL	5	1.2083	0.0221	0.2659
0	SPILL	9	0.6940	0.0176	0.0756
0	SPILL	8	0.6762	0.0205	0.0470
0	SPILL	4	1.4442	0.0253	0.1412
0	SPILL	4	0.7228	0.0194	0.0368
0	SPILL	1	0.7056	0.0207	0.0002
0	SPILL	7	0.5881	0.0193	0.0197
0	SPILL	7	0.6462	0.0179	0.0397
0	SPILL	2	0.7735	0.0202	0.0625
0	SPILL	1	0.5938	0.0189	0.0002
0	SPILL	6	0.5768	0.0177	0.0251
0	SPILL	3	0.6532	0.0177	0.0902
0	SPILL	3	0.6341	0.0191	0.0192
0	SPILL	6	0.8119	0.0454	0.2031
0	SPILL	5	0.5811	0.0184	0.0152
0	SPILL	5	0.7328	0.0197	0.1784
0	SPILL	2	0.6165	0.0235	0.0196
0	SPILL	2	0.6893	0.0268	0.0631
0	SPILL	4	0.7726	0.0333	0.0268
0	SPILL	1	0.6738	0.0350	0.0014
0	SPILL	1	0.5606	0.0201	0.0002
0	SPILL	4	0.5573	0.0183	0.0457
0	SPILL	3	0.5756	0.0215	0.0113
0	SPILL	2	0.6350	0.0252	0.0491
0	SPILL	3	0.5688	0.0176	0.0174
0	SPILL	2	0.6206	0.0187	0.0120
0	SPILL	2	0.9260	0.0279	0.0108
0	SPILL	1	0.5721	0.0195	0.0002
0	SPILL	2	0.5753	0.0186	0.0114
0	SPILL	1	0.5525	0.0181	0.0002
0	SPILL	1	0.5355	0.0183	0.0001
0	SPILL	1	0.5399	0.0187	0.0003
0	SPILL	1	0.5194	0.0189	0.0002
0	SPILL	1	0.5251	0.0202	0.0002
0	BUD	0	0.6341	0.0171	0.0003
0	BUD	0	0.5954	0.0143	0.0002
0	BUD	0	0.4154	0.0135	0.0001
0	BUD	0	0.4007	0.0131	0.0001
0	VRAK	0	0.4530	0.0135	0.0001
0	VELG	0	0.4649	0.0267	0.0001
0	SPILL	6	0.6395	0.0167	0.0650
