# MLB trekkbygger — kostnad per beslutning
# 2026-08-09T16:09:04.140Z  giver=20 målPoeng=30 tro=AV
# TREKK_LENGDE=1032 MIKRO=273 KONVENSJON=71 regler=17
# kamp	fase	lovlige	ms_total	ms_mikro	ms_konvensjon
0	BUD	0	1.4961	0.0433	0.0004
0	BUD	0	0.1787	0.0371	0.0004
0	BUD	0	0.1151	0.0209	0.0003
0	BUD	0	0.1476	0.0299	0.0003
0	VRAK	0	0.1626	0.0337	0.0003
0	VELG	0	0.1046	0.0125	0.0003
0	SPILL	5	0.6015	0.0202	0.1346
0	SPILL	1	0.1668	0.0184	0.0005
0	SPILL	2	0.3094	0.0179	0.0868
0	SPILL	3	0.1800	0.0148	0.0364
0	SPILL	11	0.3227	0.0180	0.0604
0	SPILL	1	0.1034	0.0156	0.0002
0	SPILL	2	0.1233	0.0141	0.0191
0	SPILL	4	0.1733	0.0165	0.0382
0	SPILL	10	0.3308	0.0176	0.1151
0	SPILL	1	0.0940	0.0145	0.0002
0	SPILL	10	0.4394	0.0459	0.2093
0	SPILL	1	0.1111	0.0174	0.0003
0	SPILL	9	0.1370	0.0223	0.0270
0	SPILL	2	0.1626	0.0230	0.0143
0	SPILL	5	0.6865	0.0255	0.2639
0	SPILL	9	0.1804	0.0166	0.0780
0	SPILL	8	0.1783	0.0202	0.0541
0	SPILL	4	0.9438	0.0196	0.1495
0	SPILL	4	0.1339	0.0194	0.0345
0	SPILL	1	0.1097	0.0217	0.0002
0	SPILL	7	0.1237	0.0164	0.0201
0	SPILL	7	0.1553	0.0167	0.0411
0	SPILL	2	0.1983	0.0162	0.0615
0	SPILL	1	0.0869	0.0175	0.0002
0	SPILL	6	0.1229	0.0187	0.0345
0	SPILL	3	0.2355	0.0171	0.1186
0	SPILL	3	0.1289	0.0209	0.0199
0	SPILL	6	0.4036	0.0216	0.2768
0	SPILL	5	0.1003	0.0186	0.0193
0	SPILL	5	0.3650	0.0185	0.2287
0	SPILL	2	0.1071	0.0166	0.0159
0	SPILL	2	0.2024	0.0274	0.0848
0	SPILL	4	0.1755	0.0197	0.0336
0	SPILL	1	0.7914	0.0257	0.0002
0	SPILL	1	0.0821	0.0176	0.0002
0	SPILL	4	0.1130	0.0174	0.0518
0	SPILL	3	0.2123	0.0172	0.0112
0	SPILL	2	0.1615	0.0204	0.0464
0	SPILL	3	0.0867	0.0152	0.0163
0	SPILL	2	0.1143	0.0158	0.0132
0	SPILL	2	0.1373	0.0155	0.0109
0	SPILL	1	0.0680	0.0143	0.0002
0	SPILL	2	0.0801	0.0233	0.0091
0	SPILL	1	0.0656	0.0145	0.0002
0	SPILL	1	0.0782	0.0156	0.0002
0	SPILL	1	0.0653	0.0166	0.0003
0	SPILL	1	0.0682	0.0238	0.0002
0	SPILL	1	0.0680	0.0171	0.0002
0	BUD	0	0.1178	0.0128	0.0002
0	BUD	0	0.0635	0.0095	0.0002
0	BUD	0	0.0969	0.0101	0.0002
0	BUD	0	0.0740	0.0125	0.0001
0	VRAK	0	0.0784	0.0159	0.0001
0	VELG	0	0.0768	0.0276	0.0002
0	SPILL	6	0.2239	0.0139	0.0578
0	SPILL	2	0.1621	0.0135	0.0212
0	SPILL	1	0.0688	0.0119	0.0002
0	SPILL	2	0.1186	0.0130	0.0199
0	SPILL	11	0.1151	0.0166	0.0409
0	SPILL	1	0.0690	0.0122	0.0002
0	SPILL	5	0.1083	0.0147	0.0310
0	SPILL	1	0.2446	0.0146	0.0002
0	SPILL	10	0.1912	0.0175	0.0937
0	SPILL	5	0.1063	0.0122	0.0308
0	SPILL	1	0.0896	0.0167	0.0002
0	SPILL	3	0.2176	0.0135	0.1326
