# 1815 stillinger
a	b	ulike	av	andel
vane.grisk	vane.honnørsulten	660	1452	0.4545
vane.grisk	vane.trumfgjerrig	297	1452	0.2045
vane.grisk	vane.ordentlig	390	1452	0.2686
vane.grisk	test.feig	1332	1452	0.9174
vane.grisk	test.trumfsløser	1279	1452	0.8809
vane.grisk	test.middelmådig	1054	1452	0.7259
vane.grisk	test.baklengs	1138	1452	0.7837
vane.honnørsulten	vane.trumfgjerrig	572	1452	0.3939
vane.honnørsulten	vane.ordentlig	646	1452	0.4449
vane.honnørsulten	test.feig	931	1452	0.6412
vane.honnørsulten	test.trumfsløser	983	1452	0.6770
vane.honnørsulten	test.middelmådig	1227	1452	0.8450
vane.honnørsulten	test.baklengs	916	1452	0.6309
vane.trumfgjerrig	vane.ordentlig	478	1452	0.3292
vane.trumfgjerrig	test.feig	1251	1452	0.8616
vane.trumfgjerrig	test.trumfsløser	1364	1452	0.9394
vane.trumfgjerrig	test.middelmådig	998	1452	0.6873
vane.trumfgjerrig	test.baklengs	1103	1452	0.7596
vane.ordentlig	test.feig	1282	1452	0.8829
vane.ordentlig	test.trumfsløser	1295	1452	0.8919
vane.ordentlig	test.middelmådig	1035	1452	0.7128
vane.ordentlig	test.baklengs	1143	1452	0.7872
test.feig	test.trumfsløser	329	1452	0.2266
test.feig	test.middelmådig	859	1452	0.5916
test.feig	test.baklengs	456	1452	0.3140
test.trumfsløser	test.middelmådig	943	1452	0.6494
test.trumfsløser	test.baklengs	531	1452	0.3657
test.middelmådig	test.baklengs	959	1452	0.6605
